Story Code,Annotator #1 Code,Annotator #2 Code,Story Title,Plot Summary,Content warnings,Author Code,Second author code (if applicable),Investigation-reveal order,Reveal border sentence,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,Number of detectives if more than 2,Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,Number of assistants if more than 2,Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Culprits introduced during reveal?,Main culprit independence,Initiator of investigation,Role of police,Focus on crime or quasi-crime,Crime trajectory,Occurrence of crime or mystery,Types of qrimes,Motives,Means (murder only),Sufficient clues to guess?,Sufficient clues to solve?,Correct annotator guess?,Types of clues,Essential clue,Type of essential clue,Most salient clue,Type of most salient clue,Red herring description,Type of red herring,Presence of planted or fabricated evidence,Types of evidence made available,Is the crime solved?,Decision NOT to alert authorities?,Satisfying narrative account?,How satisfying as detective fiction?,Recommend to friend?,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book
DM10,WW,AW,Hide and Seek,"Painter Godfrey Morland’s “Life and Love,” a culmination of three years’ labour, is deemed an instant masterpiece. When the piece disappears right before its framing, Godfrey’s friend Ernest Beauchamp—a rival in both love and art—is the immediate suspect. The evidence is damning, maybe too damning... ",,MMB,,Standard,With the tools in her hands she walked across to the big battle-piece which Mr. Goldmirk had purchased;,Dora Myrl,Female,Independent amateur,,,,,,,,,,,,2,0,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Theft, Fraud",Greed,,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)","The cut up and burned canvas is in the shape of the perimeter of the painting, as if the painting was trimmed to be smaller.",Physical clue,"The loose knot in the noose out the window, indicating it the thief did not escape through the window.",Physical clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1900,Book,"Dora Myrl, The Lady Detective"
DM11,WW,AW,Weighed and Found Wanting,"After Anthony Collingswood is gifted a 65-karat diamond in India, his nephew Alan goes to painful lengths to safely transport the treasure. In England, however, the gem seems to have shrunk; what was 65 karats is now 49. Did Alan cheat his uncle, or is someone else behind this diminished diamond?",,MMB,,Standard,"His face changed instantly to a ghastly pallor, and his trembling hands fell limply from the scales. ",Dora Myrl ,Female,Independent amateur,,,,,,,,,,,,2,0,0,0,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Theft, Fraud",Greed,,Yes,No,Yes,Usable in real time (usable → usable), Dora’s steel beads collecting under the scale as if drawn by a magnet. ,Physical clue, Dora’s steel beads collecting under the scale as if drawn by a magnet. ,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1900,Book,"Dora Myrl, The Lady Detective"
DM12,WW,AW,The Wings of a Bird ,"Mechanic and mathematician Ernest Farleigh regales his Cambridge classmate Dora Myrl with the tale of his most recent invention, a machine that enables human-propelled flight. When his blueprints disappear, Ernest enlists Dora to discover exactly where they flew off to.",,MMB,,Standard,"“What is the meaning of all this, Miss Myrl?” Ernest Fairleigh broke out at last, in utter bewilderment.",Dora Myrl,Female,Independent amateur,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,Theft,Greed,,Yes,Yes,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The pigeon feathers in Bradley’s lunch basket.,Physical clue,The pigeon feathers in Bradley’s lunch basket.,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1900,Book,"Dora Myrl, The Lady Detective"
QPB01,WW,AW,The Voice From the Dead,"Beck is drawn away from his imminent fishing trip by Joe Rutherford, who begs him to investigate the disappearance of her father, missing for two days after vanishing from his study. Joe’s fiance, a burgeoning young barrister and rival for her father’s seat, is suspected of murder. However, Rutherford’s secretary is behaving strangely, and his  enticing young widow, Lucy Lallady, has recently ousted Joe as sole inheritor of the Rutherford fortune. ",,MMB,,Standard,"“I’m not so sure of that,” Mr Beck answered. “The evidence doesn’t show how he got to the water.”",Paul Beck,Male,Independent amateur,,,,,,,,,,,,2,0,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,Before the investigation,"Murder, Theft","Greed, Jealousy, Love",Asphyxiation,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","Heavy foot prints along the path indicate that Rutherford did not walk to the river, but that the murderer wore his boots and carried him.",Physical clue,Mark Strangley’s behavior reveals he is in love with Rutherford’s widow.,Physical clue,,,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1908,Book,The Quests of Paul Beck
QPB02,WW,AW,Trifles Light as Air,"Violence shakes a small Gloucestershire village when Squire Ackland is shot to death by his nephew Richard Ackland. Richard has clear motive—the honour of the woman he loves—and admits to pulling the trigger, but he insists the revolver was unloaded.  ",,MMB,,Standard,“And what is it?” asked the vicar.,Paul Beck,Male,Independent amateur,,,,,,,,,,,,2,0,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Fraud","Jealousy, Love",Firearm,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",A bullet provided by the vicar weighing the same as the piece of lead used to incriminate Richard Ackley.,Physical clue,"Marks from the brass end of the vicar’s cane in the mud, indicating he lied about never having seen the small brass piece.",Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1908,Book,The Quests of Paul Beck
QPB03,WW,CC,Drowned Diamonds,"When Beck is on vacation, he spends his time with a young lady, and promises her father to watch over her and her prized diamonds. When one of her suitors drowns with the diamonds in hand, how will they ever retrieve this prized possession?",,MMB,,Standard,"“There!” said Mr Beck, laconically, and he pointed a thick forefinger at the white-sailed vessel that seemed to come slowly back to them across the broad blue expanse of the bay.",Paul Beck,Male,Independent amateur,,,,,,,,,,,,0,1,0,0,0,3,0,0,0,Yes,Acts mostly alone with some assistance,A private client,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Theft, Fraud",Greed,,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The fingerprint that Paul Beck collected on the glove,Physical clue,The count’s fascination with the jewels,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1908,Book,The Quests of Paul Beck
SB05,SK,WW,Room 53,"Beatrice, a quiet and hard-working girl whose favorite pastime is a good detective novel, is shocked when the happenings of a true crime happen in one of her assigned rooms. An English man and his friend from Amsterdam arrive amicably at the hotel only for one to be gone the next day—and the other to suddenly have been robbed! Is this case what Beatrice thinks it is? Or is there something more happening?",,JSF,,Standard,There’s the plain truth— and it’s for you to profit by.,Beatrice ,Female,Independent amateur,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",,Qrime → no qrime,Before the investigation,Theft,Greed,,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",Captain Mervyn's testimonial,Testimonial clue,Mervyn's amusement at the theft,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1925,Book,The Secret of the Barbican
SB06,SK,WW,The Secret of the Barbican,"Mr. Hellard, a legal adviser to the Sarklestowe town, suddenly finds a rare, extremely valuable set of coins in a London museum—the very coins which belonged to his village! With the former town clerk gone missing and an underground market in the foreground of this novelty item’s mysterious reappearance, Hellard sets off to uncover this mystery. ",,JSF,,Standard,"“Now, then, no nonsense,” he said.",Septimus Hellard,Male,Independent amateur,Paver-Crompton,Male,Independent amateur,,,,,,,,,0,0,0,0,1,1,1,0,0,No,Acts together with one or more equal partners,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Theft, Fraud",Greed,,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The telegram Mr. Capstick sends his cousin,Physical clue,The telegram Mr. Capstick sends his cousin,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1925,Book,The Secret of the Barbican
SB07,SK,WW,The Silhouette,"After Horace Sinclair Limmis discovers the corpse of an Italian man, he becomes obsessed with solving the murder and winning himself renown as a detective. Though the police takes his statement and set out to solve the mystery themselves, Limmis keeps an ace up his sleeve: the mysterious silhouette he saw fleeing the scene of the crime.",,JSF,,Standard,"Once outside he stood stock still on the pavement—trains, business, the manager’s wrath, everything forgotten—and glued his eyes to the paper.",Limmis,Male,Independent amateur,,,,,,,,,,,,2,0,0,0,0,1,1,0,0,Yes,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, After the investigation",Murder,"Revenge, Love","Knife/sword, Firearm",No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",_none,_none,Morelli's former love affair with the murdered man,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,No,3,No,1925,Book,The Secret of the Barbican
SB08,SK,WW,Blind Gap Moor,"When Mr. Etherington, manager of a Northshire bank, is suddenly informed that one of his subordinates has been murdered, the man is surprised not at the murder, but more so the man who has been killed. Swale, a quiet man, is found shot and robbed of--immediately after having collected his tenants’ rents. How did the murderer know of Swale’s routine collection of rent?",,JSF,,Standard,What did Swale tell you when you met him that night at Blind Gap Moor?,Etherington,Male,Independent amateur,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,No,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Forgery",Greed,Firearm,Yes,Yes,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",The marked sovereign that Charlesworth used to pay the bank,Physical clue,The bank documents forged by Charlesworth ,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1925,Book,The Secret of the Barbican
SB10,CC,AW,Extra Judicial,"A young farmer receives a death sentence for drunkenly murdering his romantic competitor, but Mr. Justice Machin has a strange intuition that he is innocent. Divesting himself of his judge’s robes, he travels to the small town of Muirdale where the murder was done and, in his investigation, uncovers new suspects.",,JSF,,Standard,"“For I didn’t. All the same, as you’re going where you can’t tell secrets, I don’t mind telling you that I know who did. And it wasn’t Michael Cruddas!”",Francis Machin,Male,Independent amateur,,,,,,,,,,,,1,0,0,0,0,2,1,0,0,No,Acts together with one or more equal partners,The detective(s) themselves,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Fraud, Kidnapping","Greed, Revenge",Firearm,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",Justice Machin overhears that Marshall Cruddas is set to inherit Michael’s property if he dies.,Testimonial clue,The gun being Michaels due to the special cartridge,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,3,No,1925,Book,The Secret of the Barbican
SB11,CC,AW,The Second Capsule,"After stealing a fortune from his city’s government, the civil servant Garthwaite plans his escape carefully. When he is intercepted by a coworker who knows of his theft, Garwaithe stages the perfect crime to dispose of him. What happens next becomes a story of murder, chemistry, and regret!",,JSF,,Other,,_none,Unknown,Unclear,,,,,,,,,,,,1,0,0,0,1,2,0,0,0,,Acts alone,Unclear/not specified,Police are present and contribute significantly to solving the crime,Crime,,,"Murder, Theft",Greed,Poison,,,,Usable in real time (usable → usable),The second capsule that was left behind,Physical clue,The homeless man following Garthwaite,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1925,Book,The Secret of the Barbican
SB12,CC,AW,The Way to Jericho,"One night, desperate with hunger, unlucky inventor Melchior Rosenbaum steals money from his rich uncle. When his well-to-do cousin finds him out, he demands a fee to stay quiet but quietly plans to further blackmail Melchior. His plans go awry when he visits his uncle to gloat over his new wealth.",,JSF,,Other,,_none,Unknown,Unclear,,,,,,,,,,,,1,0,0,0,0,2,0,0,0,,Acts mostly alone with some assistance,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,,,"Theft, Fraud, Blackmail, Breaking and entering",Greed,,,,,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",The marked quids,Physical clue,Isadore planning to get the inheritance from his uncle,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1925,Book,The Secret of the Barbican
SB13,CC,AW,Patent No. 33,"When a man dies shortly after his new invention is about to take off, a book store owner begins investigating and finds out that the inventor’s employer is passing off the invention as his own! What can a bookstore owner do about this heinous crime?",,JSF,,Other,,Alfred Penny,Male,Independent amateur,,,,,Wilmington,Male,Independent amateur,Chelwick,Male,Independent amateur,,0,2,0,0,0,1,0,0,0,,Acts alone,The detective(s) themselves,Police are not present,Crime,Qrime → same qrime,Before the investigation,"Theft, Fraud, Blackmail",Greed,,,,,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",The document found in the book written by the late Engineer,Physical clue,Ramsdale making his fortune off of a new machine,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1925,Book,The Secret of the Barbican
SB14,CC,AW,The Selchester Missal,"Lawyer Guy Lampard is summoned by his client, the Dean of Selchester, to investigate the disappearance of the priceless Selchester Missal. The robbery coincides with another robbery of a second antique, the Earl of Maxbury’s medal, and Lampard uncovers evidence that connects the two crimes to an unlikely suspect.",,JSF,,Standard,“Nothing to be frightened about!” she exclaimed scornfully.,Guy Lampard,Male,Independent amateur,,,,,,,,,,,,2,1,0,0,0,0,2,0,0,Yes,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Theft, Blackmail","Greed, Duress",,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Margaret reveals that Mrs. Vanderkiste was also at the Earl’s house.,Testimonial clue,The pendant found,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1925,Book,The Secret of the Barbican
SB15,CC,AW,The Murder in the Mayor's Parlour,Lyncaster’s young mayor is found stabbed to death in his parlor without a viable way for the killer to exit the building. Sergeant-Inspector Milgrave is summoned from London to investigate the murder but becomes frustrated by the absence of clues and motives. The key to the crime is found in the ancient walls of Lyncaster; Milgrave needs a man just as ancient to unlock the mystery.,,JSF,,Standard,"He was watching Leggett closely now, and he was not slow to see that Leggett was watching him. ",Milgrave,Male,Member of the police,,,,,Mallalieu,Male,Independent amateur,,,,,1,0,0,0,0,1,0,0,0,No,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Theft, Fraud, Breaking and entering",Greed,Knife/sword,Yes,Yes,Yes,"Evoked, Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",Snuffy reveals that there is a passageway connecting the mayor’s parlor to Leggett’s bank.,Testimonial clue,Leggett behaves guiltily when confronted with the truth of the crime. ,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1925,Book,The Secret of the Barbican
DDF01,CC,AW,The Council of Four,"Dorcas Dene, a female detective, is set on a case involving a young Lord who has mysteriously gone missing. With family secrets buried among conspiracy theories, an old friend on the case, and much more, Dorcas must solve this mystery!",suicide,GRS,,Standard,"“Presently. But first I want to know about the Helsham case. I think you ought to tell me, because once—just for a little time—we were partners in this business, you know.”",Dorcas Dene,Female,Independent professional (solo),,,,,Paul Dene,Male,Independent amateur,Lester,Female,Independent amateur,3.0,1,0,0,0,0,0,2,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,No qrime → qrime,Before the investigation,Fraud,Greed,,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Dorcas learns that Lady Helsham would have lost her fortune if her child had been a girl,Testimonial clue,The relief of Lady Helsham when she is told that her son is going to commit suicide,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,1897,Book,"Dorcas Dene, Detective, First Series"
DDF02,CC,AW,The Man with the Wild Eyes,"A woman has a sudden nervous fit near the lake and seemingly passes out with mysterious bruises signifying abuse; however, it does not seem as straightforward as she claims it to be. Dorcas Dene is hired to investigate and soon uncovers connections to a past love.",,GRS,,Standard,"“Oh, sir—such a dreadful thing!” she said—“a body in the lake!”",Dorcas Dene,Female,Independent professional (solo),,,,,Saxon,Male,Independent amateur,,,,,0,1,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,Before the investigation,"Murder, Assault, Breaking and entering",Insanity,,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The marriage certificate for Maud and Victor Hargreaves,Physical clue,It is learned that Maud had a connection with Victor Dubois and wrote him frequent letters,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1897,Book,"Dorcas Dene, Detective, First Series"
DDF05,WW,AW,The Diamond Lizard,"The second Mrs. Charrington loves her stepson Claude as her own, but, when her new jewelry goes missing days after he confesses to financial difficulties, she can’t help but suspect him. However, when the jewels mysteriously reappear in their case during the investigation, Dorcas Dene must unravel a more complicated mystery.",,GRS,,Standard,“Smoke and listen!”,Dorcas Dene ,Female,Independent professional (solo),,,,,Saxon,Male,Independent amateur,,,,,0,1,0,0,0,2,0,0,0,No,Acts alone,A private client,Police are not present,Quasi-crime,Qrime → different qrime,Before the investigation,"Theft, Fraud, Blackmail, Illegal gambling","Greed, Pride",,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",Pawn tickets for the jewels found in Rinaldi’s pocket book,Physical clue,The droplet of blood on Lord Charrington’s bedside.,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1897,Book,"Dorcas Dene, Detective, First Series"
DDF07,WW,AW,The Mysterious Millionaire,"Three years ago, the then-unknown Judkins Barraclough arrived in London with a garish pageant of wealth. But who was Barraclough before his millions? Where did he come from? And what secrets are hidden in the empty house on Burton Crescent?",,GRS,,Standard,All we wanted to know.,Dorcas Dene,Female,Independent professional (solo),,,,,Saxon ,Male,Independent amateur,,,,,0,2,0,0,0,2,0,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,"Before the investigation, During the investigation","Murder, Fraud, Assault, Kidnapping","Greed, Pride",Poison,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The drugged woman locked in a cage on the top floor.,Physical clue,The drugged woman locked in a cage on the top floor.,Physical clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1897,Book,"Dorcas Dene, Detective, First Series"
DDF10,WW,AW,The Haverstock Hill Murder,"After Mrs. Hannaford is found bludgeoned to death in her drawing room, her second husband—with whom she had a tumultuous marriage—is swiftly convicted and institutionalized. However, Dorcas Dene discovers much more is afoot, including a connection to the death of the victim’s first husband five years ago.",,GRS,,Standard,You infernal villain!,Dorcas Dene,Female,Independent professional (solo),,,,,Saxon,Male,Independent amateur,,,,,0,1,0,0,0,2,0,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Breaking and entering",Greed,Blunt force trauma,Yes,No,No,Usable in real time (usable → usable),"Dorcas Dene hears Flash George arrange to meet with someone at Hangerford Bridge, to exchange money.",Testimonial clue,A hidden compartment inside a taxidermied bear used to hide banknotes. ,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1897,Book,"Dorcas Dene, Detective, First Series"
DDS01,CC,SK,The Missing Prince,"A foreign prince disappears from his London hotel room, eliciting governmental alarm. With national reputation hinged on the case, Dorcas Dene delves into this mystery only to be further confused by its possible ties to conspiracy and a mysterious woman. Murder, kidnapping, and a strange brooch—what can this all mean for the fate of the prince?",,GRS,,Standard,His Royal Highness Prince —— of —— was able next day to communicate his adventures to the authorities.,Dorcas Dene,Female,Independent professional (solo),,,,,Saxon,Male,Independent amateur,Carr,Male,Independent professional (agency),,1,1,0,0,1,8,1,0,0,No,Acts together with one or more equal partners,The police,Police are present and contribute significantly to solving the crime,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Blackmail, Assault, Kidnapping",Ideology,Blunt force trauma,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)","Zelie Vossche being the maid to the morganatic wife and sister to Jean Vossche, the anarchist",Testimonial clue,"Zelie Vossche being the maid to the morganatic wife and sister to Jean Vossche, the anarchist",Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1898,Book,"Dorcas Dene, Detective: Second Series"
DDS04,CC,SK,The Co-Respondent,"When a woman known for her righteous character and cold husband is accused of infidelity, much of London becomes invested in the alleged affair between the reputed Count von Phalsdorf and the madame. However, as maids and porters alike come with damning evidence of the two, the distraught woman seeks Dorcas Dene to protect her reputation and family.",,GRS,,Standard,"Then I asked him if he knew of anyone, a German, who might wish to avoid him.",Dorcas Dene,Female,Independent professional (solo),,,,,Saxon,Male,Independent amateur,,,,,0,1,0,0,0,2,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Fraud, Assault","Greed, Love",,Yes,Yes,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The scar on the Count,Physical clue,The picture and letter found with the handkerchief sachet,Physical clue,,,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1898,Book,"Dorcas Dene, Detective: Second Series"
DDS06,CC,SK,A Bank Holiday Mystery,"An old lady suddenly appears at the doorstop of Dorcas Dene with a tearful story but no financial means to support her plight. Detective Dene offers to at least listen, discovering that the Mrs. Edwards’ dutiful daughter, Miriam, has suddenly disappeared after a hasty engagement with a respectful gentlemen Mr. Carlton. Although this may seem like a regular elopement on first glance, Mrs. Edwards’ sudden missing money complicates things. Is this a case of mere theft on Miriam’s part or something even more dark?",,GRS,,Standard,I found Dorcas alone in the drawing-room.,Dorcas Dene,Female,Independent professional (solo),,,,,,,,,,,,0,1,0,0,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,Qrime → different qrime,"Before the investigation, During the investigation, After the investigation","Murder, Theft, Fraud",Greed,Asphyxiation,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The life insurance on the Wife,Testimonial clue,Miriam’s jewelery found in the residence of the lookalike,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,1898,Book,"Dorcas Dene, Detective: Second Series"
DDS08,CC,SK,Presented to the Queen,"Sir Joshua Broome, a well known politician, is suddenly presented with an anonymous letter regarding the past criminal activity of his wife, Lady Broome. Asking for a thousand pounds, the mysterious individual threatens to publicize an incident of theft that not only is true, but also a theft that Joshua Broome only now discovers. However, even as the criminal charge remains in the London books, Lady Brooke claims she has never done such a thing and even her former employer agrees—how can this be? And even if the threats are false, how can this case of blackmail be stopped?",,GRS,,Standard,"“It is, Sir Joshua,” said Mr. Garrod, speaking slowly and with evident emotion, “and I am here to fulfil my promise. ",Dorcas Dene,Female,Independent professional (solo),,,,,Saxon,Male,Independent amateur,,,,,1,1,0,0,0,1,1,0,0,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Theft, Fraud, Blackmail",Greed,,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The American accent of Mrs. Winter,Testimonial clue,Mr. Garrod recommending Margaret Grey despite her history,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1898,Book,"Dorcas Dene, Detective: Second Series"
FL01,WW,CC,"The Story of the Spaniards, Hammersmith","Roderick Houston’s inheritance of his aunt’s estate seems like a stroke of luck, giving him a tidy rental profit. Instead, as reports pour in from a succession of tenants fleeing the house due to ghostly affairs, he must call upon old friend Flaxman Low to get to the root of the Spaniards House.",,HHP,KOP,Standard,"""If you can unravel this tangle of hints and events and diagnose the ghost, I shall be extremely astonished,"" he said. ",Flaxman Low,Male,Independent professional (solo),,,,,Houston,Male,Independent amateur,,,,,0,1,0,0,0,1,0,0,0,No,Acts alone,"A private client, The assistant(s)",Police are not present,Crime,No qrime → qrime,Before the investigation,"Murder, Assault",,Asphyxiation,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The unhappy relationship between Mr. and Mrs. Van Nuysen,Testimonial clue,Mr. Van Nuysen’s state of being an “invalid” and his subsequent disappearance.,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1898,Journal,Pearson's Magazine
FL02,WW,CC,The Story of Medhans Lea,"Three friends spend a quiet night at the newly purchased estate of Medhans Lea, eager to enjoy a good evening of billiards. Suddenly, they find themselves interrupted by the cries of a terrified child and a mysterious, laughing figure in black. What buried crime haunts Medhans Lea?",,HHP,KOP,Standard,Let us take the Bengali idol first,Flaxman Low,Male,Independent professional (solo),,,,,,,,,,,,1,0,0,0,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,No qrime → qrime,Before the investigation,Assault,Crime-for-crime's-sake,,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The sound of the child screaming,Testimonial clue,Nare-Jones’ spontaneous speech about a ghost’s eternal revisiting of a crime scene.,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1898,Journal,Pearson's Magazine
